,hwr,awr,hspa,aspa,hrpa,arpa,hda,ada,hts,ats,hhspa,haspa,hhrpa,harpa,hhda,hada,homes,aways,hq1,hq2,hq3,hq4,aq1,aq2,aq3,aq4,league
106,20.0,75.0,69.4,85.0,80.0,80.25,-10.6,4.75,149.4,165.25,34.0,45.25,37.2,38.5,-3.2,6.75,75,88,21,21,17,16,19,28,19,22,NBB
107,25.0,20.0,67.63,70.4,76.63,76.6,-9.0,-6.2,144.25,147.0,34.5,35.6,39.88,41.0,-5.38,-5.4,59,71,12,14,11,22,20,20,9,22,Liga Nacional
108,42.86,80.0,75.86,83.6,76.86,74.8,-1.0,8.8,152.71,158.4,37.14,43.2,36.14,35.0,1.0,8.2,90,74,23,19,27,21,15,26,18,15,Liga Nacional
109,50.0,16.67,82.5,78.83,83.88,87.83,-1.38,-9.0,166.38,166.67,38.0,36.67,40.25,43.67,-2.25,-7.0,92,78,27,18,23,24,15,19,21,23,Liga Nacional
110,71.43,66.67,83.0,84.17,81.71,73.33,1.29,10.83,164.71,157.5,41.86,39.83,35.57,33.83,6.29,6.0,64,83,10,23,18,13,17,19,22,25,Liga Nacional
111,33.33,57.14,77.5,82.0,79.0,78.14,-1.5,3.86,156.5,160.14,34.17,39.29,40.17,37.0,-6.0,2.29,87,71,23,34,18,12,14,18,20,19,Liga Nacional
112,33.33,75.0,81.17,76.38,82.17,70.63,-1.0,5.75,163.33,147.0,38.0,35.5,37.83,36.63,0.17,-1.13,75,83,24,19,15,17,25,14,22,22,Liga Nacional
113,80.0,42.86,80.8,80.71,83.0,71.43,-2.2,9.29,163.8,152.14,37.4,38.14,39.8,31.71,-2.4,6.43,71,67,12,16,21,22,18,11,14,24,Liga Nacional
114,20.0,37.5,73.6,75.5,96.2,73.63,-22.6,1.88,169.8,149.13,35.6,36.63,49.4,39.0,-13.8,-2.38,64,94,14,17,25,8,25,20,21,28,Liga Nacional
115,20.0,0.0,67.4,74.5,76.6,82.17,-9.2,-7.67,144.0,156.67,32.0,36.5,35.4,41.83,-3.4,-5.33,75,73,27,14,13,21,17,18,15,23,Liga Nacional
116,71.43,80.0,91.57,91.6,76.86,78.0,14.71,13.6,168.43,169.6,43.43,46.2,39.86,37.6,3.57,8.6,85,86,17,23,20,25,20,23,23,20,Super League 1
